,0
0,0.2471665751543305
1,0.24590549167160833
2,0.24135997111023458
3,0.245326392499768
4,0.24771440008740137
5,0.24374130483280038
6,0.2498681921416676
7,0.24879741814340164
8,0.24419803507093768
9,0.23650710970354616
10,0.19847227648506416
11,0.1594201877229313
12,0.10812318866435175
13,0.05804564456986061
14,0.02545314564158232
15,-0.014451104864024848
16,-0.0329809613003338
17,-0.050234951161091675
18,-0.04827515502768553
19,-0.049896131538382085
20,-0.04600866146264038
21,-0.04707377127385132
22,-0.05465091132286675
23,-0.053776914968609854
24,-0.06015278620377183
25,-0.05914971722395612
26,-0.06841749659899767
27,-0.07005334860899598
28,-0.0610697170281326
29,-0.05474589115015921
