,0
0,0.18397708241873423
1,0.18223433938565592
2,0.18301293679351352
3,0.17918139283411327
4,0.18058021391770807
5,0.18233824131360174
6,0.18936086144568195
7,0.20461075892690792
8,0.23233594939213698
9,0.25362120833725427
10,0.24461462236372614
11,0.21082724950437218
12,0.1635962985666643
13,0.12477847441283868
14,0.11602556277919428
15,0.12914240529042048
16,0.14256481448011768
17,0.15981333006856563
18,0.1711483937650634
19,0.15608313103607868
20,0.16244492180733364
21,0.1556291442951909
22,0.14991948006723993
23,0.14492162140882497
24,0.1469728839944764
25,0.1506292987257763
26,0.14143037760026297
27,0.1471109731447437
28,0.13780046467062987
29,0.14406188477179466
