,0
0,0.3379896048472948
1,0.3421893363414232
2,0.3621267513143298
3,0.36981990116056396
4,0.3904474339113993
5,0.40197739941720595
6,0.40213905192493404
7,0.3815807135747735
8,0.33312648174164655
9,0.2639465439401748
10,0.23432051519685934
11,0.2275257346314699
12,0.19991714438702124
13,0.18689278230830472
14,0.16405268992789168
15,0.1428987147628979
16,0.13011451061680104
17,0.11446690376169898
18,0.08811738193040591
19,0.0728068189578487
20,0.06271100661040342
21,0.04686209410525341
22,0.038934897901293467
23,0.031029959823474076
24,0.02335323958112532
25,-0.0017635857696215323
26,-0.039632421417749655
27,-0.07583279608277244
28,-0.10175668417528999
29,-0.1071234527279177
30,-0.09476245725505617
31,-0.08909352594091746
32,-0.08253200544736118
33,-0.0896381202855697
34,-0.08080210753424164
35,-0.0803479153932277
36,-0.06443810673393781
37,-0.055246312919272636
38,-0.09210801966417728
39,-0.12968975608221459
40,-0.16415785010068687
41,-0.18466471908447915
42,-0.13004483096738262
43,-0.08917648737743036
44,-0.18884924485522395
45,-0.11952158739004033
46,0.09503080317240375
47,-0.05917092342917362
48,0.008107487503938422
49,0.08829644730217044
50,0.12845060402216987
51,0.08418798623020043
52,0.018947813806371564
53,-0.04051154969809606
54,-0.012851157634412481
55,0.036703631362542566
