,0
0,0.1859690272745725
1,0.1848586793807447
2,0.18365853692865577
3,0.19824074111773193
4,0.2010874622205962
5,0.2243200744626071
6,0.248113884637162
7,0.2651815178459691
8,0.28365448176164976
9,0.2681022452529942
10,0.22532485010015574
11,0.15571419197852066
12,0.11494751536413357
13,0.0878994839673446
14,0.07474942493397672
15,0.06184972104151781
16,0.05245326738064766
17,0.03109569175467035
18,0.03385898737841088
19,0.009452131116780567
20,-0.007732764166925675
21,-0.009642803753563516
22,-0.012738667176377939
23,-0.023194595677562883
24,-0.04494776886738571
25,-0.05630365979678653
26,-0.057728403081521364
27,-0.038609510799877365
28,-0.028631538980194392
29,-0.029784806487053308
30,-0.03363291527117455
31,-0.03543058503081393
32,-0.04114244804270741
33,-0.05643126128449627
34,-0.055530955682437266
35,-0.05369774787558691
36,-0.04350977650044004
37,-0.02736738534167629
38,-0.019988708843602567
39,-0.01615987986443366
40,-0.04251470834300071
41,-0.07676552431327717
42,-0.07884246483517574
43,-0.11931957520639219
44,-0.13266036500703265
45,-0.061485879832415546
46,0.026177033714688932
47,0.012626812766006535
48,-0.023512204952549028
49,-0.09034642159811562
50,-0.09937726620645809
51,-0.030447292705840026
52,0.038730544109280646
53,0.07289567786514818
54,0.097157046114715
55,0.08268694541022993
