,0
0,0.30696198395198654
1,0.3107396347793647
2,0.3155392846357228
3,0.31869829783577824
4,0.31972506364227954
5,0.32501936702697853
6,0.3372049312449463
7,0.3505661486464145
8,0.36488639127524175
9,0.3454130524922343
10,0.2759170156577613
11,0.20379595314276178
12,0.15183123982778948
13,0.10453359161124583
14,0.07502167852328734
15,0.048469499929503175
16,0.008751837447087359
17,-0.0386463471382386
18,-0.06337537053905151
19,-0.09546596615895774
20,-0.12594481670050456
21,-0.12736174105148226
22,-0.1440805627242166
23,-0.16779273110747003
24,-0.2136950784116582
25,-0.23018688410903188
26,-0.22385912425395713
27,-0.21738263404079988
28,-0.2034562469175991
29,-0.19392022308370951
30,-0.17768334094848132
31,-0.15738463623413293
32,-0.1384229058038657
33,-0.1283158643440951
34,-0.1075960174956605
35,-0.07577936907075912
36,-0.0627339379094769
37,-0.07308409677932347
38,-0.09370488433892102
39,-0.1308425421324106
40,-0.17268135212627653
41,-0.186392483692634
42,-0.10514911783690263
43,-0.05007423040134721
44,-0.06952140989803311
45,-0.018807353376028152
46,0.10840379032696583
47,0.019567535933083635
48,-0.0966914830668604
49,-0.24062895775171989
50,-0.22849607265211389
51,-0.1343722230903017
52,-0.0419029440505177
53,0.01984492213353453
54,0.059807353361456594
55,0.029303613536088385
