,0
0,0.313231736806909
1,0.31005022725326825
2,0.3150223590347497
3,0.31537132930388034
4,0.31519071775866914
5,0.31368171301194175
6,0.3123324429638523
7,0.3252095970785458
8,0.11696111017545152
9,-0.21259907037814904
10,-0.2699733397787281
11,-0.2572914993595365
12,-0.2613583471545763
13,-0.24302261071178455
14,-0.2351804859655646
15,-0.22431825689156726
16,-0.2190633296276095
17,-0.2267574443372118
18,-0.22533998083522908
19,-0.23026967251477992
20,-0.22543803244539237
21,-0.23589157367784291
22,-0.2357963055361543
23,-0.23004351491063177
24,-0.2327957218590658
25,-0.2423987958219255
26,-0.2361172046047639
27,-0.2267883835072915
28,-0.22220009794585416
29,-0.23420812412024042
