,0
0,0.2951270715052401
1,0.30777491227078213
2,0.30723036708982315
3,0.30447406464769755
4,0.3128885773199494
5,0.3039168444852987
6,0.2947515147016909
7,0.28008907588483717
8,0.23296361696401438
9,0.19995718970398063
10,0.18535683025494204
11,0.19658521744116292
12,0.20314690965666737
13,0.20703873009124568
14,0.19970166674893353
15,0.20455969826568168
16,0.20235456364836726
17,0.19225081343687953
18,0.18530488186491786
19,0.16479299386851828
20,0.14714015723401888
21,0.11010184464994902
22,0.07636705566486039
23,0.05834110104296353
24,0.030406589225994835
25,-0.010845018809504928
26,-0.05475361830800713
27,-0.0917925259945398
28,-0.09815560575397177
29,-0.07742762319580748
30,-0.042574856855112385
31,-0.03513074583154414
32,-0.04766763609167328
33,-0.06355250911596497
34,-0.07798008541105554
35,-0.1043478131341368
36,-0.05401887738102715
37,-0.008137564225146
38,-0.012025014875205691
39,-0.0158223863534795
40,-0.042843084168014425
41,-0.07711363686797788
42,-0.0858408579787737
43,-0.13732563118402755
44,-0.19617285949268443
45,-0.1234932622121717
46,0.03673086385159151
47,-0.0005824927510051864
48,0.06868642981187642
49,0.08587423927211212
50,0.049586770625136355
51,-0.02675354361577855
52,-0.02481754247470197
53,-0.007636194754469828
54,0.09802969542442058
55,0.11766197026207341
