,0
0,0.5164789943848257
1,0.516968176310147
2,0.5136842456049312
3,0.517763094058418
4,0.5171885086336112
5,0.5203014208922956
6,0.518001367209116
7,0.48660907274564347
8,0.038889041789654
9,-0.3714913323943421
10,-0.4320867629732514
11,-0.43023540953057116
12,-0.40496687302319506
13,-0.3925562259593231
14,-0.4006732257843405
15,-0.4023854920163767
16,-0.40898210045628347
17,-0.4184426343635921
18,-0.42331036243322673
19,-0.4342060901391853
20,-0.4257151507533189
21,-0.43080848118043047
22,-0.4280832166584384
23,-0.4287683822918625
24,-0.43482565901679426
25,-0.4314645581409329
26,-0.4199217523883147
27,-0.42428730866275693
28,-0.4165558070333347
29,-0.41720055867926364
