,0
0,0.035006324965074
1,0.03978216716059437
2,0.03818227977524384
3,0.040887865494738024
4,0.03794130460982693
5,0.03872593248108672
6,0.04233998883112797
7,0.10297946616814162
8,0.09606194861150756
9,-0.051934422524402404
10,-0.06476425293112761
11,-0.0490451022694738
12,-0.04644158667991403
13,-0.03498756648723044
14,-0.01786734767099628
15,-0.00030849264137279244
16,0.009603032994699319
17,0.006615271382362733
18,0.011136238504162696
19,0.006903801218954604
20,0.002734111259837416
21,0.0030407790029323687
22,-0.001274427805838148
23,0.0007809160112471407
24,-0.002479656860454072
25,-0.0030313595073596603
26,-0.002763632819590901
27,0.00019612635830767135
28,0.0008057143861385251
29,0.0008890514555315958
