,0
0,0.13684052643236283
1,0.13364740070847125
2,0.13459688416232524
3,0.12952906567924888
4,0.13513349877086256
5,0.12188229498241228
6,0.12258590929601297
7,0.12235361389089945
8,0.11124983439193047
9,0.09596230366122943
10,0.07839895574290998
11,0.06504889827658124
12,0.045165895996781856
13,0.02476454175918292
14,0.013791364362345555
15,0.017303087124900505
16,0.02448055211067024
17,0.03063945232109489
18,0.048790493263466315
19,0.05551929469726768
20,0.06470910599306633
21,0.06866280787566427
22,0.06496351406512145
23,0.06770570479499124
24,0.07331689446680781
25,0.07336014028261556
26,0.0765824431164904
27,0.06440946817011237
28,0.06275744627511082
29,0.058851220848212024
30,0.07243176774745543
31,0.08116242869918854
32,0.0748112227732505
33,0.06247265441391666
34,0.03674488356016967
35,-0.010707119189445325
36,-0.06763780762031998
37,-0.1234688555641511
38,-0.17254545434453927
39,-0.1951085991812597
40,-0.2226823389505523
41,-0.23135610205141277
42,-0.2229440106496474
43,-0.17316334698762037
44,-0.0912011532797006
45,-0.04095945155892721
46,-0.013146865687912797
47,0.010344462841745382
48,0.051937949102076546
49,0.07922426836970912
50,0.06545000746568512
51,0.017451814725049905
52,-0.0033256032201516195
53,0.017633637207560574
54,0.05562116070145201
55,0.08123039951880145
