,0
0,0.1621572049826531
1,0.16788410170545431
2,0.17057267495362827
3,0.1692846491435605
4,0.16666741947355715
5,0.1666063308128118
6,0.162662580190648
7,0.19563001221345397
8,0.05261015576410372
9,-0.09701151638303926
10,-0.15472648268761896
11,-0.1525495138889167
12,-0.13865174830278953
13,-0.1120188963508234
14,-0.10589570402514806
15,-0.09972839968044528
16,-0.10723688541855785
17,-0.10895973401142857
18,-0.10389207637825333
19,-0.11109079559833648
20,-0.10337184462480214
21,-0.10660718917713576
22,-0.10317984862306338
23,-0.09490046633728627
24,-0.09321050697707352
25,-0.10036942718813208
26,-0.09186364416149354
27,-0.09583425996525055
28,-0.09386928126658788
29,-0.09634128101744566
