,0
0,0.1663260924454576
1,0.1603987396168751
2,0.1666081626325857
3,0.16652181589920717
4,0.16304634185012815
5,0.16868037176148018
6,0.16702799896946846
7,0.16996468423257977
8,0.1768996615071797
9,0.17185439516960133
10,0.17301252253425528
11,0.17188195942320375
12,0.16939624829238642
13,0.16780494700719503
14,0.16894268412070626
15,0.1759386362297901
16,0.1749650880134584
17,0.1869135388287291
18,0.19139540609655956
19,0.19906954335069418
20,0.20362594870736694
21,0.2079142747676345
22,0.2065154714755677
23,0.19948011540746727
24,0.203503434255868
25,0.20126854578702139
26,0.1825751556146906
27,0.18125382885765642
28,0.17828231981925405
29,0.1724887094345538
30,0.166162086564706
31,0.17287778593974823
32,0.188564432601551
33,0.19070774190095566
34,0.18444830552790137
35,0.1687866566412176
36,0.14711551887641913
37,0.09861862817015712
38,0.05005824212707894
39,0.005475650649307364
40,-0.03426694806175492
41,-0.04101108589408724
42,-0.049441485643662006
43,-0.08276015299922329
44,-0.08257188870183148
45,0.04142334551235247
46,0.1321650937284332
47,0.0713338617939507
48,0.023502914578672384
49,-0.019762669710030382
50,-0.04905232694952897
51,-0.03506179319111821
52,0.02011235108958149
53,0.07783889635451467
54,0.10110713231919166
55,0.10654554819801179
